id,name,code,kota_id/id
1101010,TEUPAH SELATAN,1101010,1101
1101020,SIMEULUE TIMUR,1101020,1101
1101021,TEUPAH BARAT,1101021,1101
1101022,TEUPAH TENGAH,1101022,1101
1101030,SIMEULUE TENGAH,1101030,1101
1101031,TELUK DALAM,1101031,1101
1101032,SIMEULUE CUT,1101032,1101
1101040,SALANG,1101040,1101
1101050,SIMEULUE BARAT,1101050,1101
1101051,ALAFAN,1101051,1101
1102010,PULAU BANYAK,1102010,1102
1102011,PULAU BANYAK BARAT,1102011,1102
1102020,SINGKIL,1102020,1102
1102021,SINGKIL UTARA,1102021,1102
1102022,KUALA BARU,1102022,1102
1102030,SIMPANG KANAN,1102030,1102
1102031,GUNUNG MERIAH,1102031,1102
1102032,DANAU PARIS,1102032,1102
1102033,SURO,1102033,1102
1102042,SINGKOHOR,1102042,1102
1102043,KOTA BAHARU,1102043,1102
1103010,TRUMON,1103010,1103
1103011,TRUMON TIMUR,1103011,1103
1103012,TRUMON TENGAH,1103012,1103
1103020,BAKONGAN,1103020,1103
1103021,BAKONGAN TIMUR,1103021,1103
1103022,KOTA BAHAGIA,1103022,1103
1103030,KLUET SELATAN,1103030,1103
1103031,KLUET TIMUR,1103031,1103
1103040,KLUET UTARA,1103040,1103
1103041,PASIE RAJA,1103041,1103
1103042,KLUET TENGAH,1103042,1103
1103050,TAPAK TUAN,1103050,1103
1103060,SAMA DUA,1103060,1103
1103070,SAWANG,1103070,1103
1103080,MEUKEK,1103080,1103
1103090,LABUHAN HAJI,1103090,1103
1103091,LABUHAN HAJI TIMUR,1103091,1103
1103092,LABUHAN HAJI BARAT,1103092,1103
1104010,LAWE ALAS,1104010,1104
1104011,BABUL RAHMAH,1104011,1104
1104012,TANOH ALAS,1104012,1104
1104020,LAWE SIGALA-GALA,1104020,1104
1104021,BABUL MAKMUR,1104021,1104
1104022,SEMADAM,1104022,1104
1104023,LEUSER,1104023,1104
1104030,BAMBEL,1104030,1104
1104031,BUKIT TUSAM,1104031,1104
1104032,LAWE SUMUR,1104032,1104
1104040,BABUSSALAM,1104040,1104
1104041,LAWE BULAN,1104041,1104
1104050,BADAR,1104050,1104
1104051,DARUL HASANAH,1104051,1104
1104052,KETAMBE,1104052,1104
1104053,DELENG POKHKISEN,1104053,1104
1105080,SERBA JADI,1105080,1105
1105081,SIMPANG JERNIH,1105081,1105
1105082,PEUNARON,1105082,1105
1105090,BIREM BAYEUN,1105090,1105
1105100,RANTAU SELAMAT,1105100,1105
1105101,SUNGAI RAYA,1105101,1105
1105110,PEUREULAK,1105110,1105
1105111,PEUREULAK TIMUR,1105111,1105
1105112,PEUREULAK BARAT,1105112,1105
1105120,RANTO PEUREULAK,1105120,1105
1105130,IDI RAYEUK,1105130,1105
1105131,PEUDAWA,1105131,1105
1105132,BANDA ALAM,1105132,1105
1105133,IDI TUNONG,1105133,1105
1105134,DARUL IHSAN,1105134,1105
1105135,IDI TIMUR,1105135,1105
1105140,DARUL AMAN,1105140,1105
1105150,NURUSSALAM,1105150,1105
1105151,DARUL FALAH,1105151,1105
1105160,JULOK,1105160,1105
1105161,INDRA MAKMUR,1105161,1105
1105170,PANTE BIDARI,1105170,1105
1105180,SIMPANG ULIM,1105180,1105
1105181,MADAT,1105181,1105
1106010,LINGE,1106010,1106
1106011,ATU LINTANG,1106011,1106
1106012,JAGONG JEGET,1106012,1106
1106020,BINTANG,1106020,1106
1106031,LUT TAWAR,1106031,1106
1106032,KEBAYAKAN,1106032,1106
1106040,PEGASING,1106040,1106
1106041,BIES,1106041,1106
1106050,BEBESEN,1106050,1106
1106051,KUTE PANANG,1106051,1106
1106060,SILIH NARA,1106060,1106
1106061,KETOL,1106061,1106
1106062,CELALA,1106062,1106
1106063,RUSIP ANTARA,1106063,1106
1107050,JOHAN PAHLAWAN,1107050,1107
1107060,SAMATIGA,1107060,1107
1107061,BUBON,1107061,1107
1107062,ARONGAN LAMBALEK,1107062,1107
1107070,WOYLA,1107070,1107
1107071,WOYLA BARAT,1107071,1107
1107072,WOYLA TIMUR,1107072,1107
1107080,KAWAY XVI,1107080,1107
1107081,MEUREUBO,1107081,1107
1107082,PANTAI CEUREMEN,1107082,1107
1107083,PANTON REU,1107083,1107
1107090,SUNGAI MAS,1107090,1107
1108010,LHOONG,1108010,1108
1108020,LHOKNGA,1108020,1108
1108021,LEUPUNG,1108021,1108
1108030,INDRAPURI,1108030,1108
1108031,KUTA COT GLIE,1108031,1108
1108040,SEULIMEUM,1108040,1108
1108041,KOTA JANTHO,1108041,1108
1108042,LEMBAH SEULAWAH,1108042,1108
1108050,MESJID RAYA,1108050,1108
1108060,DARUSSALAM,1108060,1108
1108061,BAITUSSALAM,1108061,1108
1108070,KUTA BARO,1108070,1108
1108080,MONTASIK,1108080,1108
1108081,BLANG BINTANG,1108081,1108
1108090,INGIN JAYA,1108090,1108
1108091,KRUENG BARONA JAYA,1108091,1108
1108100,SUKA MAKMUR,1108100,1108
1108101,KUTA MALAKA,1108101,1108
1108102,SIMPANG TIGA,1108102,1108
1108110,DARUL IMARAH,1108110,1108
1108111,DARUL KAMAL,1108111,1108
1108120,PEUKAN BADA,1108120,1108
1108130,PULO ACEH,1108130,1108
1109010,GEUMPANG,1109010,1109
1109011,MANE,1109011,1109
1109070,GLUMPANG TIGA,1109070,1109
1109071,GLUMPANG BARO,1109071,1109
1109080,MUTIARA,1109080,1109
1109081,MUTIARA TIMUR,1109081,1109
1109090,TIRO/TRUSEB,1109090,1109
1109100,TANGSE,1109100,1109
1109111,KEUMALA,1109111,1109
1109112,TITEUE,1109112,1109
1109120,SAKTI,1109120,1109
1109130,MILA,1109130,1109
1109140,PADANG TIJI,1109140,1109
1109150,DELIMA,1109150,1109
1109151,GRONG GRONG,1109151,1109
1109160,INDRAJAYA,1109160,1109
1109170,PEUKAN BARO,1109170,1109
1109180,KEMBANG TANJONG,1109180,1109
1109190,SIMPANG TIGA,1109190,1109
1109200,KOTA SIGLI,1109200,1109
1109210,PIDIE,1109210,1109
1109220,BATEE,1109220,1109
1109230,MUARA TIGA,1109230,1109
1110010,SAMALANGA,1110010,1110
1110011,SIMPANG MAMPLAM,1110011,1110
1110020,PANDRAH,1110020,1110
1110030,JEUNIEB,1110030,1110
1110031,PEULIMBANG,1110031,1110
1110040,PEUDADA,1110040,1110
1110050,JULI,1110050,1110
1110060,JEUMPA,1110060,1110
1110061,KOTA JUANG,1110061,1110
1110062,KUALA,1110062,1110
1110070,JANGKA,1110070,1110
1110080,PEUSANGAN,1110080,1110
1110081,PEUSANGAN SELATAN,1110081,1110
1110082,PEUSANGAN SIBLAH KRUENG,1110082,1110
1110090,MAKMUR,1110090,1110
1110100,GANDA PURA,1110100,1110
1110101,KUTA BLANG,1110101,1110
1111010,SAWANG,1111010,1111
1111020,NISAM,1111020,1111
1111021,NISAM ANTARA,1111021,1111
1111022,BANDA BARO,1111022,1111
1111030,KUTA MAKMUR,1111030,1111
1111031,SIMPANG KERAMAT,1111031,1111
1111040,SYAMTALIRA BAYU,1111040,1111
1111041,GEUREUDONG PASE,1111041,1111
1111050,MEURAH MULIA,1111050,1111
1111060,MATANGKULI,1111060,1111
1111061,PAYA BAKONG,1111061,1111
1111062,PIRAK TIMU,1111062,1111
1111070,COT GIREK,1111070,1111
1111080,TANAH JAMBO AYE,1111080,1111
1111081,LANGKAHAN,1111081,1111
1111090,SEUNUDDON,1111090,1111
1111100,BAKTIYA,1111100,1111
1111101,BAKTIYA BARAT,1111101,1111
1111110,LHOKSUKON,1111110,1111
1111120,TANAH LUAS,1111120,1111
1111121,NIBONG,1111121,1111
1111130,SAMUDERA,1111130,1111
1111140,SYAMTALIRA ARON,1111140,1111
1111150,TANAH PASIR,1111150,1111
1111151,LAPANG,1111151,1111
1111160,MUARA BATU,1111160,1111
1111170,DEWANTARA,1111170,1111
1112010,MANGGENG,1112010,1112
1112011,LEMBAH SABIL,1112011,1112
1112020,TANGAN-TANGAN,1112020,1112
1112021,SETIA,1112021,1112
1112030,BLANG PIDIE,1112030,1112
1112031,JEUMPA,1112031,1112
1112040,SUSOH,1112040,1112
1112050,KUALA BATEE,1112050,1112
1112060,BABAH ROT,1112060,1112
1113010,KUTA PANJANG,1113010,1113
1113011,BLANG JERANGO,1113011,1113
1113020,BLANGKEJEREN,1113020,1113
1113021,PUTRI BETUNG,1113021,1113
1113022,DABUN GELANG,1113022,1113
1113023,BLANG PEGAYON,1113023,1113
1113030,PINING,1113030,1113
1113040,RIKIT GAIB,1113040,1113
1113041,PANTAN CUACA,1113041,1113
1113050,TERANGUN,1113050,1113
1113051,TRIPE JAYA,1113051,1113
1114010,TAMIANG HULU,1114010,1114
1114011,BANDAR PUSAKA,1114011,1114
1114020,KEJURUAN MUDA,1114020,1114
1114021,TENGGULUN,1114021,1114
1114030,RANTAU,1114030,1114
1114040,KOTA KUALASIMPANG,1114040,1114
1114050,SERUWAY,1114050,1114
1114060,BENDAHARA,1114060,1114
1114061,BANDA MULIA,1114061,1114
1114070,KARANG BARU,1114070,1114
1114071,SEKERAK,1114071,1114
1114080,MANYAK PAYED,1114080,1114
1115010,DARUL MAKMUR,1115010,1115
1115011,TRIPA MAKMUR,1115011,1115
1115020,KUALA,1115020,1115
1115021,KUALA PESISIR,1115021,1115
1115022,TADU RAYA,1115022,1115
1115030,BEUTONG,1115030,1115
1115031,BEUTONG ATEUH BANGGALANG,1115031,1115
1115040,SEUNAGAN,1115040,1115
1115041,SUKA MAKMUE,1115041,1115
1115050,SEUNAGAN TIMUR,1115050,1115
1116010,TEUNOM,1116010,1116
1116011,PASIE RAYA,1116011,1116
1116020,PANGA,1116020,1116
1116030,KRUENG SABEE,1116030,1116
1116040,SETIA BAKTI,1116040,1116
1116050,SAMPOINIET,1116050,1116
1116051,DARUL HIKMAH,1116051,1116
1116060,JAYA,1116060,1116
1116061,INDRA JAYA,1116061,1116
1117010,TIMANG GAJAH,1117010,1117
1117011,GAJAH PUTIH,1117011,1117
1117020,PINTU RIME GAYO,1117020,1117
1117030,BUKIT,1117030,1117
1117040,WIH PESAM,1117040,1117
1117050,BANDAR,1117050,1117
1117051,BENER KELIPAH,1117051,1117
1117060,SYIAH UTAMA,1117060,1117
1117061,MESIDAH,1117061,1117
1117070,PERMATA,1117070,1117
1118010,MEUREUDU,1118010,1118
1118020,MEURAH DUA,1118020,1118
1118030,BANDAR DUA,1118030,1118
1118040,JANGKA BUYA,1118040,1118
1118050,ULIM,1118050,1118
1118060,TRIENGGADENG,1118060,1118
1118070,PANTERAJA,1118070,1118
1118080,BANDAR BARU,1118080,1118
1171010,MEURAXA,1171010,1171
1171011,JAYA BARU,1171011,1171
1171012,BANDA RAYA,1171012,1171
1171020,BAITURRAHMAN,1171020,1171
1171021,LUENG BATA,1171021,1171
1171030,KUTA ALAM,1171030,1171
1171031,KUTA RAJA,1171031,1171
1171040,SYIAH KUALA,1171040,1171
1171041,ULEE KARENG,1171041,1171
1172010,SUKAJAYA,1172010,1172
1172020,SUKAKARYA,1172020,1172
1173010,LANGSA TIMUR,1173010,1173
1173011,LANGSA LAMA,1173011,1173
1173020,LANGSA BARAT,1173020,1173
1173021,LANGSA BARO,1173021,1173
1173030,LANGSA KOTA,1173030,1173
1174010,BLANG MANGAT,1174010,1174
1174020,MUARA DUA,1174020,1174
1174021,MUARA SATU,1174021,1174
1174030,BANDA SAKTI,1174030,1174
1175010,SIMPANG KIRI,1175010,1175
1175020,PENANGGALAN,1175020,1175
1175030,RUNDENG,1175030,1175
1175040,SULTAN DAULAT,1175040,1175
1175050,LONGKIB,1175050,1175
1201060,IDANO GAWO,1201060,1201
1201061,BAWOLATO,1201061,1201
1201062,ULUGAWO,1201062,1201
1201070,GIDO,1201070,1201
1201071,SOGAEADU,1201071,1201
1201081,MA U,1201081,1201
1201082,SOMOLO - MOLO,1201082,1201
1201130,HILIDUHO,1201130,1201
1201131,HILI SERANGKAI,1201131,1201
1201132,BOTOMUZOI,1201132,1201
1202010,BATAHAN,1202010,1202
1202011,SINUNUKAN,1202011,1202
1202020,BATANG NATAL,1202020,1202
1202021,LINGGA BAYU,1202021,1202
1202022,RANTO BAEK,1202022,1202
1202030,KOTANOPAN,1202030,1202
1202031,ULU PUNGKUT,1202031,1202
1202032,TAMBANGAN,1202032,1202
1202033,LEMBAH SORIK MARAPI,1202033,1202
1202034,PUNCAK SORIK MARAPI,1202034,1202
1202040,MUARA SIPONGI,1202040,1202
1202041,PAKANTAN,1202041,1202
1202050,PANYABUNGAN,1202050,1202
1202051,PANYABUNGAN SELATAN,1202051,1202
1202052,PANYABUNGAN BARAT,1202052,1202
1202053,PANYABUNGAN UTARA,1202053,1202
1202054,PANYABUNGAN TIMUR,1202054,1202
1202055,HUTA BARGOT,1202055,1202
1202060,NATAL,1202060,1202
1202070,MUARA BATANG GADIS,1202070,1202
1202080,SIABU,1202080,1202
1202081,BUKIT MALINTANG,1202081,1202
1202082,NAGA JUANG,1202082,1202
1203010,BATANG ANGKOLA,1203010,1203
1203011,SAYUR MATINGGI,1203011,1203
1203012,TANO TOMBANGAN ANGKOLA,1203012,1203
1203070,ANGKOLA TIMUR,1203070,1203
1203080,ANGKOLA SELATAN,1203080,1203
1203090,ANGKOLA  BARAT,1203090,1203
1203091,ANGKOLA SANGKUNUR,1203091,1203
1203100,BATANG TORU,1203100,1203
1203101,MARANCAR,1203101,1203
1203102,MUARA BATANG TORU,1203102,1203
1203110,SIPIROK,1203110,1203
1203120,ARSE,1203120,1203
1203160,SAIPAR DOLOK HOLE,1203160,1203
1203161,AEK BILAH,1203161,1203
1204010,PINANG SORI,1204010,1204
1204011,BADIRI,1204011,1204
1204020,SIBABANGUN,1204020,1204
1204021,LUMUT,1204021,1204
1204022,SUKABANGUN,1204022,1204
1204030,PANDAN,1204030,1204
1204031,TUKKA,1204031,1204
1204032,SARUDIK,1204032,1204
1204040,TAPIAN NAULI,1204040,1204
1204041,SITAHUIS,1204041,1204
1204050,KOLANG,1204050,1204
1204060,SORKAM,1204060,1204
1204061,SORKAM BARAT,1204061,1204
1204062,PASARIBU TOBING,1204062,1204
1204070,BARUS,1204070,1204
1204071,SOSOR GADONG,1204071,1204
1204072,ANDAM DEWI,1204072,1204
1204073,BARUS UTARA,1204073,1204
1204080,MANDUAMAS,1204080,1204
1204081,SIRANDORUNG,1204081,1204
1205030,PARMONANGAN,1205030,1205
1205040,ADIANKOTING,1205040,1205
1205050,SIPOHOLON,1205050,1205
1205060,TARUTUNG,1205060,1205
1205061,SIATAS BARITA,1205061,1205
1205070,PAHAE JULU,1205070,1205
1205080,PAHAE JAE,1205080,1205
1205081,PURBATUA,1205081,1205
1205082,SIMANGUMBAN,1205082,1205
1205090,PANGARIBUAN,1205090,1205
1205100,GAROGA,1205100,1205
1205110,SIPAHUTAR,1205110,1205
1205120,SIBORONGBORONG,1205120,1205
1205130,PAGARAN,1205130,1205
1205180,MUARA,1205180,1205
1206030,BALIGE,1206030,1206
1206031,TAMPAHAN,1206031,1206
1206040,LAGUBOTI,1206040,1206
1206050,HABINSARAN,1206050,1206
1206051,BORBOR,1206051,1206
1206052,NASSAU,1206052,1206
1206060,SILAEN,1206060,1206
1206061,SIGUMPAR,1206061,1206
1206070,PORSEA,1206070,1206
1206071,PINTU POHAN MERANTI,1206071,1206
1206072,SIANTAR NARUMONDA,1206072,1206
1206073,PARMAKSIAN,1206073,1206
1206080,LUMBAN JULU,1206080,1206
1206081,ULUAN,1206081,1206
1206082,AJIBATA,1206082,1206
1206083,BONATUA LUNASI,1206083,1206
1207050,BILAH HULU,1207050,1207
1207070,PANGKATAN,1207070,1207
1207080,BILAH BARAT,1207080,1207
1207130,BILAH HILIR,1207130,1207
1207140,PANAI HULU,1207140,1207
1207150,PANAI TENGAH,1207150,1207
1207160,PANAI HILIR,1207160,1207
1207210,RANTAU SELATAN,1207210,1207
1207220,RANTAU UTARA,1207220,1207
1208010,BANDAR PASIR MANDOGE,1208010,1208
1208020,BANDAR PULAU,1208020,1208
1208021,AEK SONGSONGAN,1208021,1208
1208022,RAHUNING,1208022,1208
1208030,PULAU RAKYAT,1208030,1208
1208031,AEK KUASAN,1208031,1208
1208032,AEK LEDONG,1208032,1208
1208040,SEI KEPAYANG,1208040,1208
1208041,SEI KEPAYANG BARAT,1208041,1208
1208042,SEI KEPAYANG TIMUR,1208042,1208
1208050,TANJUNG BALAI,1208050,1208
1208060,SIMPANG EMPAT,1208060,1208
1208061,TELUK DALAM,1208061,1208
1208070,AIR BATU,1208070,1208
1208071,SEI DADAP,1208071,1208
1208080,BUNTU PANE,1208080,1208
1208081,TINGGI RAJA,1208081,1208
1208082,SETIA JANJI,1208082,1208
1208090,MERANTI,1208090,1208
1208091,PULO BANDRING,1208091,1208
1208092,RAWANG PANCA ARGA,1208092,1208
1208100,AIR JOMAN,1208100,1208
1208101,SILAU LAUT,1208101,1208
1208160,KISARAN BARAT,1208160,1208
1208170,KISARAN TIMUR,1208170,1208
1209010,SILIMAKUTA,1209010,1209
1209011,PEMATANG SILIMAHUTA,1209011,1209
1209020,PURBA,1209020,1209
1209021,HARANGGAOL HORISON,1209021,1209
1209030,DOLOK PARDAMEAN,1209030,1209
1209040,SIDAMANIK,1209040,1209
1209041,PEMATANG SIDAMANIK,1209041,1209
1209050,GIRSANG SIPANGAN BOLON,1209050,1209
1209060,TANAH JAWA,1209060,1209
1209061,HATONDUHAN,1209061,1209
1209070,DOLOK PANRIBUAN,1209070,1209
1209080,JORLANG HATARAN,1209080,1209
1209090,PANEI,1209090,1209
1209091,PANOMBEAN PANEI,1209091,1209
1209100,RAYA,1209100,1209
1209101,DOLOG MASAGAL,1209101,1209
1209110,DOLOK SILAU,1209110,1209
1209120,SILAU KAHEAN,1209120,1209
1209130,RAYA KAHEAN,1209130,1209
1209140,TAPIAN DOLOK,1209140,1209
1209150,DOLOK BATU NANGGAR,1209150,1209
1209160,SIANTAR,1209160,1209
1209161,GUNUNG MALELA,1209161,1209
1209162,GUNUNG MALIGAS,1209162,1209
1209170,HUTABAYU RAJA,1209170,1209
1209171,JAWA MARAJA BAH JAMBI,1209171,1209
1209180,PEMATANG BANDAR,1209180,1209
1209181,BANDAR HULUAN,1209181,1209
1209190,BANDAR,1209190,1209
1209191,BANDAR MASILAM,1209191,1209
1209200,BOSAR MALIGAS,1209200,1209
1209210,UJUNG PADANG,1209210,1209
1210030,SIDIKALANG,1210030,1210
1210031,BERAMPU,1210031,1210
1210032,SITINJO,1210032,1210
1210040,PARBULUAN,1210040,1210
1210050,SUMBUL,1210050,1210
1210051,SILAHISABUNGAN,1210051,1210
1210060,SILIMA PUNGGA-PUNGGA,1210060,1210
1210061,LAE PARIRA,1210061,1210
1210070,SIEMPAT NEMPU,1210070,1210
1210080,SIEMPAT NEMPU HULU,1210080,1210
1210090,SIEMPAT NEMPU HILIR,1210090,1210
1210100,TIGA LINGGA,1210100,1210
1210101,GUNUNG SITEMBER,1210101,1210
1210110,PEGAGAN HILIR,1210110,1210
1210120,TANAH PINEM,1210120,1210
1211010,MARDINGDING,1211010,1211
1211020,LAUBALENG,1211020,1211
1211030,TIGA BINANGA,1211030,1211
1211040,JUHAR,1211040,1211
1211050,MUNTE,1211050,1211
1211060,KUTA BULUH,1211060,1211
1211070,PAYUNG,1211070,1211
1211071,TIGANDERKET,1211071,1211
1211080,SIMPANG EMPAT,1211080,1211
1211081,NAMAN TERAN,1211081,1211
1211082,MERDEKA,1211082,1211
1211090,KABANJAHE,1211090,1211
1211100,BERASTAGI,1211100,1211
1211110,TIGAPANAH,1211110,1211
1211111,DOLAT RAYAT,1211111,1211
1211120,MEREK,1211120,1211
1211130,BARUSJAHE,1211130,1211
1212010,GUNUNG MERIAH,1212010,1212
1212020,SINEMBAH TANJUNG MUDA HULU,1212020,1212
1212030,SIBOLANGIT,1212030,1212
1212040,KUTALIMBARU,1212040,1212
1212050,PANCUR BATU,1212050,1212
1212060,NAMO RAMBE,1212060,1212
1212070,BIRU-BIRU,1212070,1212
1212080,SINEMBAH TANJUNG MUDA HILIR,1212080,1212
1212090,BANGUN PURBA,1212090,1212
1212190,GALANG,1212190,1212
1212200,TANJUNG MORAWA,1212200,1212
1212210,PATUMBAK,1212210,1212
1212220,DELI TUA,1212220,1212
1212230,SUNGGAL,1212230,1212
1212240,HAMPARAN PERAK,1212240,1212
1212250,LABUHAN DELI,1212250,1212
1212260,PERCUT SEI TUAN,1212260,1212
1212270,BATANG KUIS,1212270,1212
1212280,PANTAI LABU,1212280,1212
1212290,BERINGIN,1212290,1212
1212300,LUBUK PAKAM,1212300,1212
1212310,PAGAR MERBAU,1212310,1212
1213010,BOHOROK,1213010,1213
1213011,SIRAPIT,1213011,1213
1213020,SALAPIAN,1213020,1213
1213021,KUTAMBARU,1213021,1213
1213030,SEI BINGAI,1213030,1213
1213040,KUALA,1213040,1213
1213050,SELESAI,1213050,1213
1213060,BINJAI,1213060,1213
1213070,STABAT,1213070,1213
1213080,WAMPU,1213080,1213
1213090,BATANG SERANGAN,1213090,1213
1213100,SAWIT SEBERANG,1213100,1213
1213110,PADANG TUALANG,1213110,1213
1213120,HINAI,1213120,1213
1213130,SECANGGANG,1213130,1213
1213140,TANJUNG PURA,1213140,1213
1213150,GEBANG,1213150,1213
1213160,BABALAN,1213160,1213
1213170,SEI LEPAN,1213170,1213
1213180,BRANDAN BARAT,1213180,1213
1213190,BESITANG,1213190,1213
1213200,PANGKALAN SUSU,1213200,1213
1213201,PEMATANG JAYA,1213201,1213
1214010,HIBALA,1214010,1214
1214011,TANAH MASA,1214011,1214
1214020,PULAU-PULAU BATU,1214020,1214
1214021,PULAU-PULAU BATU TIMUR,1214021,1214
1214022,SIMUK,1214022,1214
1214023,PULAU-PULAU BATU BARAT,1214023,1214
1214024,PULAU-PULAU BATU UTARA,1214024,1214
1214030,TELUK DALAM,1214030,1214
1214031,FANAYAMA,1214031,1214
1214032,TOMA,1214032,1214
1214033,MANIAMOLO,1214033,1214
1214034,MAZINO,1214034,1214
1214035,LUAHAGUNDRE MANIAMOLO,1214035,1214
1214036,ONOLALU,1214036,1214
1214040,AMANDRAYA,1214040,1214
1214041,ARAMO,1214041,1214
1214042,ULUSUSUA,1214042,1214
1214050,LAHUSA,1214050,1214
1214051,SIDUAORI,1214051,1214
1214052,SOMAMBAWA,1214052,1214
1214060,GOMO,1214060,1214
1214061,SUSUA,1214061,1214
1214062,MAZO,1214062,1214
1214063,UMBUNASI,1214063,1214
1214064,IDANOTAE,1214064,1214
1214065,ULUIDANOTAE,1214065,1214
1214066,BORONADU,1214066,1214
1214070,LOLOMATUA,1214070,1214
1214071,ULUNOYO,1214071,1214
1214072,HURUNA,1214072,1214
1214080,'LOLOWA''U',1214080,1214
1214081,HILIMEGAI,1214081,1214
1214082,OOU,1214082,1214
1214083,ONOHAZUMBA,1214083,1214
1214084,HILISALAWAAHE,1214084,1214
1215010,PAKKAT,1215010,1215
1215020,ONAN GANJANG,1215020,1215
1215030,SIJAMA POLANG,1215030,1215
1215040,DOLOK SANGGUL,1215040,1215
1215050,LINTONG NIHUTA,1215050,1215
1215060,PARANGINAN,1215060,1215
1215070,BAKTI RAJA,1215070,1215
1215080,POLLUNG,1215080,1215
1215090,PARLILITAN,1215090,1215
1215100,TARA BINTANG,1215100,1215
1216010,SALAK,1216010,1216
1216011,SITELLU TALI URANG JEHE,1216011,1216
1216012,PAGINDAR,1216012,1216
1216013,SITELLU TALI URANG JULU,1216013,1216
1216014,PERGETTENG-GETTENG SENGKUT,1216014,1216
1216020,KERAJAAN,1216020,1216
1216021,TINADA,1216021,1216
1216022,SIEMPAT RUBE,1216022,1216
1217010,SIANJUR MULAMULA,1217010,1217
1217020,HARIAN,1217020,1217
1217030,SITIOTIO,1217030,1217
1217040,ONAN RUNGGU,1217040,1217
1217050,NAINGGOLAN,1217050,1217
1217060,PALIPI,1217060,1217
1217070,RONGGUR NIHUTA,1217070,1217
1217080,PANGURURAN,1217080,1217
1217090,SIMANINDO,1217090,1217
1218010,KOTARIH,1218010,1218
1218011,SILINDA,1218011,1218
1218012,BINTANG BAYU,1218012,1218
1218020,DOLOK MASIHUL,1218020,1218
1218021,SERBAJADI,1218021,1218
1218030,SIPISPIS,1218030,1218
1218040,DOLOK MERAWAN,1218040,1218
1218050,TEBINGTINGGI,1218050,1218
1218051,TEBING SYAHBANDAR,1218051,1218
1218060,BANDAR KHALIPAH,1218060,1218
1218070,TANJUNG BERINGIN,1218070,1218
1218080,SEI RAMPAH,1218080,1218
1218081,SEI BAMBAN,1218081,1218
1218090,TELUK MENGKUDU,1218090,1218
1218100,PERBAUNGAN,1218100,1218
1218101,PEGAJAHAN,1218101,1218
1218110,PANTAI CERMIN,1218110,1218
1219010,SEI BALAI,1219010,1219
1219020,TANJUNG TIRAM,1219020,1219
1219021,NIBUNG HANGUS,1219021,1219
1219030,TALAWI,1219030,1219
1219031,DATUK TANAH DATAR,1219031,1219
1219040,LIMAPULUH,1219040,1219
1219041,LIMA PULUH PESISIR,1219041,1219
1219042,DATUK LIMA PULUH,1219042,1219
1219050,AIR PUTIH,1219050,1219
1219060,SEI SUKA,1219060,1219
1219061,LAUT TADOR,1219061,1219
1219070,MEDANG DERAS,1219070,1219
1220010,BATANG ONANG,1220010,1220
1220020,PADANG BOLAK JULU,1220020,1220
1220030,PORTIBI,1220030,1220
1220040,PADANG BOLAK,1220040,1220
1220041,PADANG BOLAK TENGGARA,1220041,1220
1220050,SIMANGAMBAT,1220050,1220
1220051,UJUNG BATU,1220051,1220
1220060,HALONGONAN,1220060,1220
1220061,HALONGONAN TIMUR,1220061,1220
1220070,DOLOK,1220070,1220
1220080,DOLOK SIGOMPULON,1220080,1220
1220090,HULU SIHAPAS,1220090,1220
1221010,SOSOPAN,1221010,1221
1221020,ULU BARUMUN,1221020,1221
1221030,BARUMUN,1221030,1221
1221031,BARUMUN SELATAN,1221031,1221
1221040,LUBUK BARUMUN,1221040,1221
1221050,SOSA,1221050,1221
1221060,BATANG LUBU SUTAM,1221060,1221
1221070,HUTA RAJA TINGGI,1221070,1221
1221080,HURISTAK,1221080,1221
1221090,BARUMUN TENGAH,1221090,1221
1221091,AEK NABARA BARUMUN,1221091,1221
1221092,SIHAPAS BARUMUN,1221092,1221
1222010,SUNGAI KANAN,1222010,1222
1222020,TORGAMBA,1222020,1222
1222030,KOTA PINANG,1222030,1222
1222040,SILANGKITANG,1222040,1222
1222050,KAMPUNG RAKYAT,1222050,1222
1223010,NA IX-X,1223010,1223
1223020,MARBAU,1223020,1223
1223030,AEK KUO,1223030,1223
1223040,AEK NATAS,1223040,1223
1223050,KUALUH SELATAN,1223050,1223
1223060,KUALUH HILIR,1223060,1223
1223070,KUALUH HULU,1223070,1223
1223080,KUALUH LEIDONG,1223080,1223
1224010,TUGALA OYO,1224010,1224
1224020,ALASA,1224020,1224
1224030,ALASA TALU MUZOI,1224030,1224
1224040,NAMOHALU ESIWA,1224040,1224
1224050,SITOLU ORI,1224050,1224
1224060,TUHEMBERUA,1224060,1224
1224070,SAWO,1224070,1224
1224080,LOTU,1224080,1224
1224090,LAHEWA TIMUR,1224090,1224
1224100,AFULU,1224100,1224
1224110,LAHEWA,1224110,1224
1225010,SIROMBU,1225010,1225
1225020,LAHOMI,1225020,1225
1225030,ULU MORO O,1225030,1225
1225040,LOLOFITU MOI,1225040,1225
1225050,MANDREHE UTARA,1225050,1225
1225060,MANDREHE,1225060,1225
1225070,MANDREHE BARAT,1225070,1225
1225080,MORO O,1225080,1225
1271010,SIBOLGA UTARA,1271010,1271
1271020,SIBOLGA KOTA,1271020,1271
1271030,SIBOLGA SELATAN,1271030,1271
1271031,SIBOLGA SAMBAS,1271031,1271
